nombre,symbol,categoria,valor_usd,market_cap,ranking,volumen_24h,volumen/marketcap,circulating_supply,total_supply,max_supply,multichain,exchanges,pagina_web,contrato
Splintershards,SPS,gaming,0.009747812851661795,12944512.26665047,969,104808.79264735,0.008096774176449554,1327940171.1578517,1327940171.1578517,3000000000,True,61,,0x1633b7157e7638c4d6593436111bf125ee74703f
VGX Token,VGX,gaming,0.0051196291969664905,2441308.025260854,1584,1154027.78817012,0.47270880045823466,476852508.5190526,916531620.4440113,,True,78,,0x3C4B6E6e1eA3D4863700D7F76b36B7f3D3f13E3d
StarLink,STARL,gaming,4.5550203415618376e-07,4545533.1587950345,1318,295969.59610945,0.06511218503307716,9979172029858.488,10000000000000,10000000000000,True,84,,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24
GameGPT,DUEL,gaming,0.0010023171402832112,4514002.029665767,1321,257383.21068562,0.057018851341694585,4503566634,9979000000,10000000000,True,53,,0x943Af2ece93118B973c95c2F698EE9D15002e604
Matr1x Fire,FIRE,gaming,0.06655338243431747,4441192.664385051,1323,1457476.72263347,0.3281723700755683,66731284,165646718,,True,32,,0x838C9634dE6590B96aEadC4Bc6DB5c28Fd17E3C2
DOLZ.io,DOLZ,gaming,0.006395661917243115,0,4367,32972.37412401,,0,264412231.92,264412231.92,True,19,,0xe939F011a3d8fC0AA874c97e8156053a903D7176
PLAY,PLAY,gaming,7.108764636504637e-05,79887.55006713876,2746,0,0.0,1123789493,1376326856.475359,,True,44,,0xD069599E718f963bD84502b49ba8F8657fAF5B3a
zkRace,ZERC,gaming,0.03549140793937847,4258968.952725417,1341,64257.27771826,0.015087519639498713,120000000,120000000,120000000,True,102,,0xf8428A5a99cb452Ea50B6Ea70b052DaA3dF4934F
Warped Games,WARPED,gaming,0.0006494004113128133,3749093.342926629,1398,0,0.0,5773161331,10000000000,10000000000,True,2,,0x6af53c6ec427525f7240e211941223288a0e7c66
AVC,AVC,gaming,0.0012804279882344066,0,3522,352819.07278212,,0,10000000000,,True,9,,0xD34984D7bfF492dC3b2336EAbD1758cE16DDFC2D
HELLO,HELLO,gaming,0.0077893500613644044,5698538.591062917,1233,35344.17666268,0.006202322946116514,731580754,1000000000,,True,49,,0x411099C0b413f4fedDb10Edf6a8be63BD321311C
Clayton,CLAY,gaming,4.029157834385708e-05,0,3577,275239.99515301,,0,100000000000,,False,11,,
Creo Engine,CREO,gaming,0.009939310635271328,3975991.62156462,1368,989609.84212374,0.24889636003164206,400026900,788886709,1000000000,True,55,,0x9521728bF66a867BC65A93Ece4a543D817871Eb7
Fren Pet,FP,gaming,0.0004699342978924965,0,3478,447533.63151228,,0,10000000000,10000000000,True,11,,0xEeee2A2E650697d2A8e8BC990C2f3d04203bE06f
ParagonsDAO,PDT,gaming,0.030968127504187707,4366189.4509252375,1327,0,0.0,140989778.9375484,143227431.86671233,162500000,True,17,,0x375abb85c329753b1ba849a601438ae77eec9893
Seedworld,SWORLD,gaming,0.0005342053702921675,2230273.018349267,1615,0,0.0,4174935600.384336,20000000000,,True,12,,0x968bE3F7bfeF0F8eDc3c1aD90232EbB0DA0867aA
Ispolink,ISP,gaming,0.0004090791544423456,3099498.580790365,1488,188129.03685985,0.06069660364608959,7576769794.138213,10000000000,,True,27,,0xc8807f0f5ba3fa45ffbdc66928d71c5289249014
DRAGONZ,DRAGONZ,gaming,0.017993607327711762,0,4426,28804.25714731,,0,1000000000,1000000000,True,1,,0:1c5ebbde66ef5c2e7bcd49fd3d37762204d225762b03b37cac9c9fd0a5e70f0b
TON Station,SOON,gaming,5.011923860922164e-05,3473901.361842249,1434,6318.07862658,0.0018187271221856028,69312732161.16,69312732161.16,70000000000,True,15,,EQCwe0g3cEFhsz4VK5nrtOZBkFeSISxhCVUqvON7Im__SOON
KOMPETE,KOMPETE,gaming,0.005128880917116079,3851148.391964084,1387,0,0.0,750874987,850524987,1000000000,True,14,,0x1E0b2992079B620AA13A7c2E7c88D2e1E18E46E9
ISLAND Token,ISLAND,gaming,0.021332590464293665,3733825.376500351,1401,857496.81439659,0.22965637862805108,175029159.38643274,989780339.638966,1000000000,True,25,,0x157a6df6B74F4E5E45af4E4615FDe7B49225a662
GAMEE,GMEE,gaming,0.0025096394416104714,3887974.779298832,1380,93222.16538007,0.02397704992234593,1549216479.003001,3180000000,,True,114,,0xd9016a907dc0ecfa3ca425ab20b6b785b42f2373
Pepper Meme,PEPPER,gaming,0.003365498801076463,0,3987,95740.3255318,,0,1000000000,1000000000,True,1,,0xbf388570eBD5b88Bfc7cd21EC469813C15f453A3
Gamium,GMM,gaming,6.7245321490298e-05,3292629.4743831484,1453,83019.36898176,0.02521369915068051,48964439479.380005,50000000000,,True,57,,0x4B19C70Da4c6fA4bAa0660825e889d2F7eaBc279
Settled EthXY Token,SEXY,gaming,0.03326619613540562,0,5391,1996.20028943,,0,100000000,100000000,True,21,,0xc52FaFDc900cB92Ae01E6E4F8979aF7f436e2EB2
LETSTOP,STOP,gaming,0.06833408756413065,3214349.775268529,1466,420913.29707355,0.13094819372555266,47038745.81265029,99999826.81811742,100000000,True,8,,W2bAuFf2Xeb7ZNpJTywFSaCs5jYkaLYtBMR53SzVXUo
Furmula,FURM,gaming,0.004253808123616191,0,3433,567761.53408996,,0,1000000000,1000000000,True,6,,866Sh46xjH7cW7aW18tBUmGm3xh6EzGTk1Li7YbbmqJr
Legend of Arcadia,ARCA,gaming,0.018206581954754875,0,3702,185504.84505411,,0,1000000000,1000000000,True,15,,0x1c00c3E03C3a10a0C1d9B6d1A42e797d7CB4147a
QORPO WORLD,QORPO,gaming,0.019448787732481442,3177754.4986538514,1475,91183.62628053,0.028694358333583313,163390877.74333,749419877.75,750000000,True,21,,0x22514fFb0d7232a56F0c24090E7B68f179FAA940
Netvrk,NETVR,gaming,0.031662053195189235,3166205.3195189238,1476,212709.46987032,0.06718119907101895,100000000,100000000,,True,35,,0x52498F8d9791736f1D6398fE95ba3BD868114d10
Pikamoon,PIKA,gaming,4.644029003486717e-08,19536965.61476827,833,6932.40182247,0.000354835134542577,420690000000000,420690000000000,420690000000000,True,11,,0xa9d54f37ebb99f83b603cc95fc1a5f3907aaccfd
SpaceM Token,SPACEM,gaming,0.0006027542409240905,2905781.4196851347,1508,83015.9620741,0.028569238385141665,4820839444,48067203522,48067203522,True,5,,0x3c780F5cBF94De3EFCec964Af928D08c4508EeBE
MagicCraft,MCRT,gaming,0.0006001550769014838,3023746.8644164777,1497,251885.20093577,0.08330234382380378,5038275907,7199999993,10000000000,True,52,,0x4b8285aB433D8f69CB48d5Ad62b415ed1a221e4f
SpaceCatch,CATCH,gaming,0.07808574780687237,860149.8849364556,1979,31690.18963044,0.036842636597900776,11015453,100000000,,True,17,,0xbc4c97fb9befaa8b41448e1dfcc5236da543217f
